Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
441,Jack Stephens,eng ENG,DF,Bournemouth,29-007,1994,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
442,Raheem Sterling,eng ENG,FWMF,Chelsea,28-057,1994,12.4,4,20,9,45,1.62,0.73,0.2,0.44,12.4,0,0,0,3.4,3.4,0.17,0.6,0.6
443,John Stones,eng ENG,DF,Manchester City,28-251,1994,13.1,0,7,1,14.3,0.53,0.08,0,0,13,0,0,0,0.6,0.6,0.08,-0.6,-0.6
444,Pascal Struijk,nl NED,DF,Leeds United,23-176,1999,17.7,2,12,5,41.7,0.68,0.28,0.17,0.4,13,0,0,0,1,1,0.09,1,1
445,Crysencio Summerville,nl NED,FW,Leeds United,21-096,2001,6.2,4,11,5,45.5,1.78,0.81,0.36,0.8,14.6,0,0,0,1.5,1.5,0.14,2.5,2.5
446,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-190,1998,2.7,1,8,2,25,2.93,0.73,0.13,0.5,10.8,0,0,0,1.7,1.7,0.21,-0.7,-0.7
447,Japhet Tanganga,eng ENG,DF,Tottenham,23-309,1999,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
448,Matt Targett,eng ENG,DF,Newcastle Utd,27-138,1995,4.7,0,1,0,0,0.21,0,0,,25.8,0,0,0,0,0,0.01,0,0
449,James Tarkowski,eng ENG,DF,Everton,30-076,1992,20,0,13,5,38.5,0.65,0.25,0,0,10.2,0,0,0,1,1,0.08,-1,-1
450,Marcus Tavernier,eng ENG,MFFW,Bournemouth,23-318,1999,14.3,2,25,8,32,1.75,0.56,0.08,0.25,17.3,2,0,0,1.7,1.7,0.07,0.3,0.3
451,Kenny Tete,nl NED,DF,Fulham,27-117,1995,13.7,0,6,3,50,0.44,0.22,0,0,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
452,Luke Thomas,eng ENG,DF,Leicester City,21-238,2001,7.6,0,2,0,0,0.26,0,0,,11.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
453,Youri Tielemans,be BEL,MF,Leicester City,25-272,1997,17.3,3,22,7,31.8,1.27,0.4,0.09,0.29,27.6,1,1,2,2.3,0.7,0.03,0.7,1.3
454,Kieran Tierney,sct SCO,DF,Arsenal,25-243,1997,5.2,0,5,2,40,0.96,0.38,0,0,25.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3
455,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-168,1995,6.8,0,3,0,0,0.44,0,0,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
456,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-090,1998,5.6,0,1,0,0,0.18,0,0,,11.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
457,James Tomkins,eng ENG,DF,Crystal Palace,33-311,1989,1.7,0,1,0,0,0.57,0,0,,25.5,0,0,0,0,0,0.04,0,0
458,Ivan Toney,eng ENG,FW,Brentford,26-324,1996,17.9,13,48,18,37.5,2.68,1.01,0.19,0.5,14.7,5,4,4,10.6,7.4,0.16,2.4,1.6
459,Adama Traoré,es ESP,FWMF,Wolves,27-009,1996,9,1,10,3,30,1.12,0.33,0.1,0.33,15.7,0,0,0,0.7,0.7,0.07,0.3,0.3
460,Boubacar Traoré,ml MLI,MF,Wolves,21-167,2001,4.3,0,3,0,0,0.7,0,0,,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1
461,Mark Travers,ie IRL,GK,Bournemouth,23-261,1999,10.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
462,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-137,1990,19.7,1,8,2,25,0.41,0.1,0.13,0.5,28.1,8,0,0,0.5,0.5,0.06,0.5,0.5
463,Leandro Trossard,be BEL,FWMF,Arsenal,28-061,1994,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
464,Leandro Trossard,be BEL,FWMF,Brighton,28-061,1994,14.6,7,38,17,44.7,2.6,1.16,0.18,0.41,15,0,0,0,4.4,4.4,0.12,2.6,2.6
465,Kostas Tsimikas,gr GRE,DF,Liverpool,26-267,1996,4.9,0,7,2,28.6,1.43,0.41,0,0,15.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6
466,Deniz Undav,de GER,FWMF,Brighton,26-199,1996,1.1,0,6,1,16.7,5.35,0.89,0,0,12.9,0,0,0,0.6,0.6,0.09,-0.6,-0.6
467,Yan Valery,tn TUN,DF,Southampton,23-346,1999,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
468,Virgil van Dijk,nl NED,DF,Liverpool,31-210,1991,16.5,2,18,5,27.8,1.09,0.3,0.11,0.4,12.6,0,0,0,1.1,1.1,0.06,0.9,0.9
469,Raphaël Varane,fr FRA,DF,Manchester Utd,29-284,1993,12.4,0,1,0,0,0.08,0,0,,11.8,0,0,0,0,0,0.03,0,0
470,Jamie Vardy,eng ENG,FW,Leicester City,36-023,1987,12.6,1,16,7,43.8,1.27,0.55,0.06,0.14,12.5,0,0,0,2.5,2.5,0.15,-1.5,-1.5
471,Joël Veltman,nl NED,DF,Brighton,31-019,1992,13.3,0,5,1,20,0.38,0.08,0,0,15.4,0,0,0,0.6,0.6,0.12,-0.6,-0.6
472,Fabio Vieira,pt POR,MFFW,Arsenal,22-249,2000,2.8,1,7,2,28.6,2.52,0.72,0.14,0.5,21.7,0,0,0,0.3,0.3,0.05,0.7,0.7
